"ticker","skew","kurt","avg","sdev","sharpe","cor_wti","cor_es1","cor_yld10y","cor_effr","beta_wti","beta_es1","beta_yld10y","beta_effr"
"AMT",1.12168161804208e-06,1.18451649388595e-07,-0.000654949562412439,0.0113106361055548,-0.0579056346875827,0.071711663221656,0.327899363495209,-0.197483366210241,-0.0332832611354413,0.0475575301242067,3.90054331473532,-0.00576119945371816,-0.000886579367014159
"AMZN",-3.13723055672189e-06,5.84045398984437e-07,-0.00173739124096956,0.0141954644321971,-0.122390588153561,0.113568132322217,0.491957087083197,0.0451187140130987,-0.0676767468790642,0.00743268755026208,0.577361008624362,0.000129885574723137,-0.000177888808295957
"ANTM",1.60901045169386e-08,1.44584730414757e-07,-0.000836072270921286,0.0133359936414434,-0.0626929116345015,0.11655906157415,0.490789504252935,0.178297565629052,-0.0803684517160845,0.0470110186479102,3.55061775984456,0.00316974707387465,-0.00130197148415582
"APA",-1.02546630323822e-06,1.12178607079489e-06,0.000678541760656161,0.022266814416072,0.0304732301611314,0.575433742070184,0.365396434152039,0.227730492814004,0.00900451837612117,0.477070166095974,5.43383283831429,0.00836428210235798,0.000299853880843901
"APC",-3.65066202219626e-06,1.2166273458102e-06,-0.000370837197323722,0.0203080558823587,-0.018260595670601,0.607813325778162,0.400881870772679,0.203924028475673,-0.0533081674949211,0.502765613358752,5.94794303510934,0.00742759591076342,-0.00177113372943871
"APTV",2.99752849690417e-06,3.69739110035559e-07,0.000290936895031428,0.0173280128691307,0.0167899745474983,0.309872794139149,0.748487733462516,0.519736696844348,-0.214011436965478,0.169900124662846,15.8260513672503,0.0119737627782378,-0.00639152422902793
"ATVI",-5.91120765829327e-06,1.6471378132969e-06,-0.00115744028204844,0.0183051419570223,-0.0632303363047356,0.0272794278451081,0.493171473229174,0.0557384157460349,-0.048071326018381,0.0264136080081074,8.56290755368815,0.00238294748739899,-0.00186938318238323
"AVGO",1.55260446623055e-07,3.337578071151e-07,-0.000795816782809704,0.0161219429974025,-0.0493623369675678,0.0545836801731179,0.46663052271166,0.0670570476231334,-0.0404706759560483,0.0145877324249384,2.23693390984816,0.000788906254373397,-0.000434437878697453
"AXP",-1.29500895914061e-07,2.24414665664464e-07,-0.000798161210014302,0.0118450826301879,-0.0673833382960232,0.169405961000317,0.693885315128409,0.321562358168658,-0.0378784939738279,0.172559231835152,12.6780436360793,0.0143959325406681,-0.00154976006376375
"AZO",1.03071275001867e-05,1.46457847421447e-06,0.000596229809836173,0.0155973847114915,0.038226268112557,0.0400008303153282,0.299267784436136,0.0242846176431979,0.016362348926177,0.00367784838952801,0.493559845600321,9.83907503348769e-05,6.04272342548973e-05
"BA",-3.09529160931822e-07,2.98159750544131e-07,-0.00187573519348882,0.0130818181538709,-0.143384900434026,0.131423925941646,0.585819467969835,0.189152388547703,-0.0938207434623692,0.0377889014564356,3.02140306581161,0.00239544861385015,-0.00108355497806195
